title,company,location,posted,url,stem
Project Assistant ,ACTED ,Somali Regional State Of Ethiopia," May 21, 2023",https://qaranjobs.com/job/project-assistant-acted-somali-regional-state-of-ethiopia/,0
Protection Officer ,Acted ,Somali Regional State Of Ethiopia," May 21, 2023",https://qaranjobs.com/job/protection-officer-acted-somali-regional-state-of-ethiopia/,0
Senior Medical Technical Advisor ,Senior Medical Technical Advisor ,Mogadishu," May 21, 2023",https://qaranjobs.com/job/senior-medical-technical-advisor-federal-government-of-somalia-mogadishu/,1
Senior Health emergency preparedness and Response Advisor ,Senior Health emergency preparedness and Response Advisor ,Mogadishu," May 21, 2023",https://qaranjobs.com/job/senior-health-emergency-preparedness-and-response-advisor-federal-government-of-somalia-mogadishu/,1
Program Assistant ,Program Assistant ,Bosaso," May 21, 2023",https://qaranjobs.com/job/program-assistant-nutrition-save-the-childrens-international-gardo/,0
Program Assistant ,Program Assistant ,Bosaso," May 21, 2023",https://qaranjobs.com/job/program-assistant-nutrition-save-the-childrens-international-bosaso/,0
"Health, Safety, Social and Environmental (HSSE) Officer ",CTG ,Mogadishu," May 20, 2023",https://qaranjobs.com/job/health-safety-social-and-environmental-hsse-officer-ctg-mogadishu/,1
Call for Consultants in Animation ,Field Production ,Somalia," May 20, 2023",https://qaranjobs.com/job/call-for-consultants-in-animation-field-production-somalia/,0
Meal Coordinator ,Qatar Charity ,Mogadishu," May 20, 2023",https://qaranjobs.com/job/meal-coordinator-qatar-charity-mogadishu/,0
PROJECT ASSISTANT ,ADRA ,DOLLOW," May 20, 2023",https://qaranjobs.com/job/project-assistant-adra-dollow/,0
"Program Manager, East Africa ",Miraclefeet ,Somalia," May 20, 2023",https://qaranjobs.com/job/program-manager-east-africa-miraclefeet-somalia/,0
Social Protection Field Coordinator ,Social Protection Field Coordinator ,Oodweyne," May 18, 2023",https://qaranjobs.com/job/social-protection-field-coordinator-concern-worldwide-oodweyne/,0
Monitoring and Evaluation Project Officer ,Monitoring and Evaluation Project Officer ,Oodweyne," May 18, 2023",https://qaranjobs.com/job/monitoring-and-evaluation-project-officer-concern-worldwide-oodweyne/,0
Social Protection Project Officer ,Social Protection Project Officer ,Oodweyne," May 18, 2023",https://qaranjobs.com/job/social-protection-project-officer-concern-worldwide-oodweyne/,0
Programme Policy Officer ,Programme Policy Officer ,Mogadishu," May 18, 2023",https://qaranjobs.com/job/programme-policy-officer-integrated-climate-risk-management-world-food-programme-wfp-mogadishu/,0
Communications Assistant ,Communications Assistant ,Baidoa," May 18, 2023",https://qaranjobs.com/job/communications-assistant-ctg-global-baidoa/,0
Research Officer ,Consilient ,Hargeisa," May 17, 2023",https://qaranjobs.com/job/research-officer-consilient-hargeisa/,0
UN Clinic Physician ,UN Clinic Physician ,Mogadishu," May 16, 2023",https://qaranjobs.com/job/un-clinic-physician-unvolunteers-mogadishu/,1
Driver ,Driver ,Mogadishu," May 16, 2023",https://qaranjobs.com/job/driver-unops-mogadishu/,0
Re-Advert: Finance Manager ,Re-Advert: Finance Manager ,Mogadishu," May 16, 2023",https://qaranjobs.com/job/re-advert-finance-manager-danish-refugee-council-drc-mogadishu/,0
Country Safety Specialist ,Country Safety Specialist ,Mogadishu," May 16, 2023",https://qaranjobs.com/job/country-safety-specialist-danish-refugee-council-drc-mogadishu/,0
Convoy Leader (Somali speaker) ,Convoy Leader (Somali speaker) ,Gode," May 16, 2023",https://qaranjobs.com/job/convoy-leader-somali-speaker-ctg-global-gode/,0
District Public Health ,District Public Health ,Somalia & Somaliland," May 16, 2023",https://qaranjobs.com/job/district-public-health-officer-world-health-organization-who-somalia-somaliland/,0
Education Coordinator ,Education Coordinator ,Baido," May 16, 2023",https://qaranjobs.com/job/education-coordinator-sos-childrens-villages-international-baidoa/,0
Protection Officer ,SOS ,Baido," May 16, 2023",https://qaranjobs.com/job/protection-officer-sos-childrens-villages-international-baidoa/,0
Education Officer  ,Education Officer  ,Baido," May 16, 2023",https://qaranjobs.com/job/education-officer-sos-childrens-villages-international-baidoa/,0
